高密市公路事业发展中心国道G309青兰线西段绿化提升项目中标公告 | 2020.02.28 | 高密市公路事业发展中心,高密市公路事业发展中心 | 山东诚德信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13939466.htm
阳西县教育局2019年阳西县教育局培训采购项目的中标、成交公告 | 2020.02.28 | 阳西县教育局 | 广东业信采购招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937529.htm
2020年绿化养护保洁（标内）采购项目中标公告 | 2020.02.28 | 北京市朝阳区北小河公园 | 北京鸿基名业工程管理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937568.htm
绿化养护及保洁服务-绿化养护及保洁标内服务项目中标公告 | 2020.02.28 | 北京市朝阳区庆丰公园 | 北京鸿基名业工程管理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937604.htm
深圳市宝安区沙井街道办事处深圳市宝安区沙井街道交通体验中心设备采购中标公告 | 2020.02.28 | 深圳市宝安区沙井街道办事处 | 广州高新工程顾问有限公司中标公告 | 广东 | 货物/专用设备/政法、检测专用设备/交通管理设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937722.htm
江门职业技术学院视频监控系统项目中标、成交结果公示 | 2020.02.28 | 江门职业技术学院 | 广东采联采购科技有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937493.htm
云南交通职业技术学院云南同济中德学院-昆明跨企业培训中心计算机教室设备采购项目结果公告 | 2020.02.28 | 云南交通职业技术学院 | 云南省政府采购和出让中心中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937507.htm
清远市清城区人民医院清远市清城区人民医院新院建设工程项目电梯工程的中标、成交结果调整公告 | 2020.02.28 | 清远市清城区人民医院 | 清远市政务服务中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937450.htm
江西省久安招标代理有限公司关于江西朱港实业有限公司PVC模板采购项目（招标编号：JXJA-ZG2020-011-0122）中标结果公示 | 2020.02.28 | 江西朱港实业有限公司 | 江西省久安招标代理有限公司中标公告 | 江西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937687.htm
HIS系统2020年维保服务项目软件运维服务采购项目中标公告 | 2020.02.28 | 首都医科大学附属北京佑安医院 | 北京国际贸易公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937495.htm
2020年北京市朝阳区四得公园绿化养护及保洁采购项目中标公告 | 2020.02.28 | 北京市朝阳区四得公园 | 中钢招标有限责任公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937601.htm
北京市朝阳区元大都城垣遗址公园2020年园林绿化养护及保洁服务项目采购项目中标公告 | 2020.02.28 | 北京市朝阳区元大都城垣遗址公园 | 北京鸿基名业工程管理有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937491.htm
青岛市动物疫病预防控制中心2020年动物防疫物资采购项目中标公告 | 2020.02.28 | 青岛市动物疫病预防控制中心 | 青岛蓉咨招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937465.htm
青岛市动物疫病预防控制中心2020年动物防疫物资采购项目中标公告 | 2020.02.28 | 青岛市动物疫病预防控制中心 | 青岛蓉咨招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937462.htm
蒙阴县野店镇2018年度村道生命安全防护工程中标公告 | 2020.02.28 | 蒙阴县野店镇人民政府 | 山东鲁投招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937472.htm
昆山市陆杨基础建设开发有限公司关于周市镇朱家湾公园土方工程项目的公开招标中标公告 | 2020.02.28 | 昆山市陆杨基础建设开发有限公司 | 昆山信衡土地房地产评估造价咨询有限公司中标公告 | 江苏 | 工程/构筑物施工/公共设施施工/园林绿化工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937470.htm
玉田县郭家屯镇徐家屯围挡工程中标公告 | 2020.02.28 | 玉田县郭家屯镇人民政府 | 并辉建设工程招标代理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937457.htm
罗定市引太花碌坑隧洞口塌方处理工程项目的中标、成交公告 | 2020.02.28 | 罗定市罗平镇人民政府 | 广东信仕德建设项目管理有限公司云浮分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937411.htm
中国科学院高能物理研究所高能正负电子束静电分离器样机重新招标中标公告 | 2020.02.28 | 中国科学院高能物理研究所 | 中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13937420.htm
肇庆市全民健康信息综合管理平台的中标、成交公告 | 2020.02.28 | 肇庆市卫生健康局 | 广东远东招标代理有限公司肇庆分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937425.htm
北京市西城区城市管理委员会2020年西城区委托第三方垃圾分类日常运行检查中标公告 | 2020.02.28 | 北京市西城区城市管理委员会 | 北京国泰建中管理咨询有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937490.htm
城南街道2017和2018年度易地扶贫搬迁户旧房拆除及复垦复绿工程中标（成交）公告 | 2020.02.28 | 兴仁市人民政府城南街道办事处 | 中建鼎正项目管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937414.htm
青岛市动物疫病预防控制中心2020年动物防疫物资采购项目中标公告 | 2020.02.28 | 青岛市动物疫病预防控制中心 | 青岛蓉咨招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937408.htm
青岛市动物疫病预防控制中心2020年动物防疫物资采购项目中标公告 | 2020.02.28 | 青岛市动物疫病预防控制中心 | 青岛蓉咨招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937409.htm
广州市妇女儿童医疗中心采购医用设备招标项目（0724-1901D09N6248A（重招））中标公告 | 2020.02.28 | 广州市妇女儿童医疗中心 | 国义招标股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937410.htm
海洋科技综合楼（青建大厦综合楼）消防通风系统改造项目中标公告 | 2020.02.28 | 中国科学院海洋研究所、青建集团股份公司 | 青岛采购招标中心有限公司中标公告 | 山东 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937650.htm
江西省久安招标代理有限公司关于江西朱港实业有限公司编织袋采购项目（招标编号：JXJA-ZG2020-010-0121）中标结果公示 | 2020.02.28 | 江西朱港实业有限公司 | 江西省久安招标代理有限公司中标公告 | 江西 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937653.htm
房山区水务工程建设项目办公室2020至2022年度房山区河道日常养护维护项目—大石河（良陈铁路桥—窦店沟汇入口）日常养护维护工程中标公告 | 2020.02.28 | 房山区水务工程建设项目办公室 | 北京五岳山河工程咨询有限公司中标公告 | 北京 | 工程/构筑物施工/公共设施施工/园林绿化工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937499.htm
房山区水务工程建设项目办公室2020至2022年度房山区河道日常养护维护项目—小清河、吴店河、哑叭河、佃起河、刺猬河日常养护维护工程中标公告 | 2020.02.28 | 房山区水务工程建设项目办公室 | 北京五岳山河工程咨询有限公司中标公告 | 北京 | 工程/构筑物施工/公共设施施工/园林绿化工程施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937498.htm
江苏省政务服务网运管中心江苏12345在线平台和省12388热线服务外包项目竞争性磋商中标公告JSZC-JC2020-003 | 2020.02.28 | 江苏省政务服务网运管中心 | 江苏省政府采购中心中标公告 | 江苏 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937412.htm
福建医科大学附属协和医院员工生日慰问品和电影票供应商遴选项目(编号：ZXWT-2019-246-1、合同包号：1)的结果公告 | 2020.02.28 | 福建医科大学附属协和医院 | 福建省智信招标有限公司中标公告 | 福建 | 服务/批发和零售服务/批发服务/食品和饮料批发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937392.htm
太仓市农业技术推广中心关于2020年太仓市地方种质资源基地及棉花育种中心基地搬迁项目新建泵站的中标公告 | 2020.02.28 | 太仓市农业技术推广中心 | 苏州安信造价咨询有限公司中标公告 | 江苏 | 工程/建筑物施工/生产用房施工/农林牧渔业用房施工 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937387.htm
湛江市麻章区应急管理局麻章区三防会议室系统升级改造项目的中标、成交公告 | 2020.02.28 | 湛江市麻章区应急管理局 | 湛江市政府采购中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937373.htm
宁夏军区动员局国防动员综合信息系统开发采购项目中标公告 | 2020.02.28 | 宁夏军区动员局 | 宁夏开诚工程咨询有限公司中标公告 | 宁夏 | 服务/信息技术服务/软件开发服务/信息安全软件开发服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937609.htm
盐田区小型水库管理技术服务项目中标公告 | 2020.02.28 | 深圳市盐田区水利设施管理中心 | 深圳中邦国际工程科技顾问有限公司中标公告 | 广东 | 服务/水利管理服务/其他水利管理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937390.htm
北京市顺义区龙湾屯镇人民政府龙湾屯镇2019-2020年环境维护服务项目中标公告 | 2020.02.28 | 北京市顺义区龙湾屯镇人民政府 | 北京鑫中招标代理有限公司中标公告 | 北京 | 服务/环境服务/城镇公共卫生服务/垃圾处理服务,服务/环境服务/城镇公共卫生服务/清扫服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937356.htm
曹县退役军人事务局服务大厅建设项目中标公告 | 2020.02.28 | 曹县退役军人事务局 | 山东衡天咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937348.htm
92510部队2020年营区零星维修施工及监理单位招标评标结果公示 | 2020.02.28 | 中国人民解放军92510部队 | 广东采联采购科技有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937347.htm
北京市通州区农业农村局通州区农业设施监督巡查第三方服务项目中标公告 | 2020.02.28 | 北京市通州区农业农村局 | 北京挚友建业咨询有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937426.htm
科技一路建设工程勘察设计项目中标公告 | 2020.02.28 | 淄博市张店区住房和城乡建设局 | 山东瀚广建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937344.htm
固原市民政局老年活动中心护理楼设备政府采购项目（第一标段）中标公告 | 2020.02.28 | 固原市民政局 | 宁夏旺洁招标有限公司中标公告 | 宁夏 | 货物/家具用具/床类/钢木床类,货物/家具用具/柜类/金属质柜类,货物/家具用具/柜类/金属质柜类,货物/家具用具/台、桌类/钢木台、桌类,货物/家具用具/椅凳类/金属骨架为主的椅凳类,货物/纺织原 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937341.htm
鹤山市第一中学电脑室及控制室设备项目中标结果公告 | 2020.02.28 | 鹤山市第一中学 | 江门市深联招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937343.htm
临沂市城市内涝及积水点治理工程-积水点治理监理项目五标段中标公告 | 2020.02.28 | 临沂市城市排水维护管理处 | 临沂浩轩工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937346.htm
临沂市教育局北城二期城市综合开发PPP项目学校钢结构装配式外墙板采购项目中标公告 | 2020.02.28 | 临沂市教育局,临沂市教育局 | 临沂市恒信金道招标有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937312.htm
太仓市农业技术推广中心关于2020年太仓市地方种质资源基地及棉花育种中心基地搬迁项目监理的中标公告 | 2020.02.28 | 太仓市农业技术推广中心 | 苏州安信造价咨询有限公司中标公告 | 江苏 | 服务/工程咨询管理服务/工程监理服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937307.htm
霞浦县第三小学阳台绿化景观木艺制品采购中标公告 | 2020.02.28 | 霞浦县第三小学 | 福建省闽鸿招标有限公司中标公告 | 福建 | 货物/土地、建筑物及构筑物/构筑物/其他构筑物 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937272.htm
东莞市福利彩票发行中心福利彩票投注站物流配送服务的中标、成交公告 | 2020.02.28 | 东莞市福利彩票发行中心 | 广东中凯工程管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937285.htm
黔南州公安交通管理局特种专业技术用车采购项目中标（成交）公告 | 2020.02.28 | 黔南州公安交通管理局 | 贵州航睿工程项目管理咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937271.htm
广东紫金农村商业银行股份有限公司金山支行营业厅装修工程中标公告 | 2020.02.28 | 广东紫金农村商业银行股份有限公司 | 广东泰然招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937479.htm
汤塘镇G106国道部分路段升级改造工程项目的中标、成交公告 | 2020.02.28 | 佛冈县汤塘镇人民政府 | 清远市宏程工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937280.htm
肇庆市高要区金利镇中心小学智慧黑板采购项目的中标调整公告 | 2020.02.28 | 肇庆市高要区金利镇中心小学 | 深圳群伦项目管理有限公司肇庆第二分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937248.htm
汕头市澄海区莲上镇人民政府汕头市澄海区莲上镇涂城垃圾压缩站建设工程的中标、成交公告 | 2020.02.28 | 汕头市澄海区莲上镇人民政府 | 广东科信工程管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937252.htm
行政办公室（经贸办、社会事务办）北宅街道2019年森林防火隔离网建设成交公告 | 2020.02.28 | 行政办公室（经贸办、社会事务办） | 青岛汇智工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937230.htm
河头店镇财政所河头店镇防汛抗旱应急水利工程成交公告 | 2020.02.28 | 河头店镇财政所 | 山东海润项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937229.htm
中山市水务局中山市供水水质监测项目中标公告 | 2020.02.28 | 中山市水务局 | 中达安股份有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937224.htm
北京市海淀区环境卫生服务中心29座移动公厕采购中标公告 | 2020.02.28 | 北京市海淀区环境卫生服务中心 | 北京泛华国金工程咨询有限公司中标公告 | 北京 | 货物/专用设备/环境污染防治设备/固体废弃物处理设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937270.htm
行政办公室（经贸办、社会事务办）北宅街道2019年森林防火隔离网建设成交公告 | 2020.02.28 | 行政办公室（经贸办、社会事务办） | 青岛汇智工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937233.htm
河头店镇财政所河头店镇防汛抗旱应急水利工程成交公告 | 2020.02.28 | 河头店镇财政所 | 山东海润项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937193.htm
济南市历下区龙洞街道办事处中井庄西侧、西南侧、东侧废弃露天矿山生态修复工程工程设计服务项目中标公告 | 2020.02.28 | 济南市历下区自然资源局,济南市历下区自然资源局,济南市历下区自然资源局 | 山东鲁晏工程项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937202.htm
徐闻县文化广电旅游体育局广东省文物保护单位广府会馆主馆部分（仅含中厅、拜亭及后厅）修缮工程的中标、成交公告 | 2020.02.28 | 徐闻县文化广电旅游体育局 | 湛江市政府采购中心中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937198.htm
惠来县人民医院医疗设备采购项目中标公告 | 2020.02.28 | 惠来县人民医院 | 广州中经招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937205.htm
中山市港口镇人民政府办公室中山市港口镇行政服务中心信息化项目（第二次）中标结果调整公告 | 2020.02.28 | 中山市港口镇人民政府办公室 | 广东省电信规划设计院有限公司第三分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937196.htm
MOODLE教学平台系统运维及优化服务采购项目中标公告 | 2020.02.28 | 广东开放大学（广东理工职业学院） | 广东国和采购咨询有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937364.htm
大连金圣达建设有限公司工房新建及周边配套建设工程-防爆门采购项目中标公告 | 2020.02.28 | 大连金圣达建设有限公司 | 大连忠信项目管理有限公司中标公告 | 辽宁 | 货物/建筑建材/建筑物、构筑物附属结构/门、门槛 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937165.htm
秦皇岛市第三医院PACS服务器招标项目中标公告 | 2020.02.28 | 秦皇岛市第三医院 | 山东耀德工程咨询有限公司中标公告 | 河北 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937159.htm
广西德宇工程咨询有限公司关于医用电梯设备采购（GLZC2019-C1-08248-GXDY（重））中标公告 | 2020.02.28 | 桂林市临桂区会仙镇中心卫生院 | 广西德宇工程咨询有限公司中标公告 | 广西 | 货物/通用设备/机械设备/塑料压制液压机/起重设备/电梯 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937324.htm
福建省福清龙华职业中专学校西餐热菜实训室建设项目结果公告(包1) | 2020.02.28 | 福建省福清龙华职业中专学校 | 福建省闽建工程造价咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937157.htm
东莞市城市管理和综合执法局石排分局东莞市石排镇2020年3月城乡市容环卫服务项目的中标、成交公告 | 2020.02.28 | 东莞市城市管理和综合执法局石排分局 | 广东和盛招标代理有限公司东莞分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937126.htm
化州市第二人民医院胃肠镜系统一套ZX2020-HJC011的成交公告 | 2020.02.28 | 化州市第二人民医院 | 茂名市智信招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937139.htm
广州融一企业管理咨询有限公司零星工程承包权入库资格项目中标公告 | 2020.02.28 | 广州融一企业管理咨询有限公司 | 广州穗峰建设工程监理有限公司中标公告 | 广东 | 工程/修缮工程/其他建筑物、构筑物修缮 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937132.htm
东港市中心医院64排CT机采购项目中标公告 | 2020.02.28 | 东港市中心医院 | 辽宁合建项目管理咨询有限公司中标公告 | 辽宁 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937296.htm
临沂第九实验小学地下车库入口阳光通道工程中标公告 | 2020.02.28 | 临沂市河东区教育体育局 | 山东元真建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937135.htm
2019年广东省体育彩票中心户外LED广告牌宣传服务采购项目（重招）中标公告 | 2020.02.28 | 广东省体育彩票中心 | 广东有德招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937134.htm
广州特种机电设备检测研究院番禺检验检测实验场地租赁项目成交公告 | 2020.02.28 | 广州特种机电设备检测研究院 | 广东有德招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937127.htm
山东鲁北高新技术开发区管委会埕口消防站室外配套工程中标公告 | 2020.02.28 | 山东鲁北高新技术开发区管委会 | 山东睿圣项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937109.htm
山东省潍坊市青州市弥河国家湿地公园管理服务中心水毁园路修复及绿地土方恢复工程中标公告 | 2020.02.28 | 青州市弥河生态林场 | 山东天盈项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937088.htm
宁夏医科大学总医院护理部PDA采购项目(预算编号：2019XXA0017)中标公告 | 2020.02.28 | 宁夏医科大学总医院 | 中天世纪国际招标有限公司中标公告 | 宁夏 | 货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937084.htm
广饶县职工社会医疗保险和居民社会医疗保险意外伤害医疗保障服务项目中标公告 | 2020.02.28 | 广饶县医疗保障局,广饶县医疗保障局 | 山东汇鑫建安工程项目管理有限公司东营分公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937086.htm
中国共产党菏泽市委员会办公室市委机关餐厅改造装修项目中标公告 | 2020.02.28 | 中国共产党菏泽市委员办公室 | 山东衡天咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937089.htm
唐山市丰南区农业农村局租用无人机喷洒农药社会服务项目中标公告 | 2020.02.28 | 林业局 | 河北鑫祺工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937058.htm
盆底肌生物刺激反馈治疗仪采购项目招标结果公示 | 2020.02.28 | 广东省第一荣军医院 | 广东元正招标采购有限公司中标公告 | 广东 | 货物/专用设备/医疗设备/其他医疗设备,货物/专用设备/医疗设备/物理治疗、康复及体育治疗仪器设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937064.htm
宁夏职业技术学院现代农业综合实训中心窗帘采购项目中标公告 | 2020.02.28 | 宁夏职业技术学院 | 宁夏正业通工程咨询有限责任公司中标公告 | 宁夏 | 货物/纺织原料、毛皮、被服装具/被服装具/室内装具/窗帘及类似品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937060.htm
曹县公费医院医疗设备采购项目中标公告 | 2020.02.28 | 曹县公费医院,曹县公费医院 | 山东金卫医药信息有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937041.htm
吉林市机关事务管理局购置吉林市市民服务中心改造项目中标公告 | 2020.02.28 | 吉林市机关事务管理局 | 吉林市政府采购中心综合信息科中标公告 | 吉林 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937021.htm
湛江市代建项目管理局湛江市东纯建筑材料再生资源利用处置场建设项目谈判备忘录及合同草本公示（预中标公示） | 2020.02.28 | 湛江市代建项目管理局 | 广东宏正工程咨询有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937024.htm
齐鲁化工区规划水资源论证报告编制采购中标公告 | 2020.02.28 | 淄博齐鲁化学工业区管理委员会 | 山东瀚广建设项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937017.htm
暨南大学幼儿园北园园舍及东园围栏改造工程(0809-1941GDG23C15)中标公告 | 2020.02.28 | 暨南大学 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937027.htm
北京国家会计学院餐厅烟道设备清洗服务项目中标公告 | 2020.02.28 | 北京国家会计学院 | 国信国采（北京）招标咨询有限责任公司中标公告 | 北京 | 服务/商务服务/会计服务/其他会计服务,服务/商务服务/建筑物清洁服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13936994.htm
卡若区民政局昌都市城区道路指示牌及门牌采购项目中标公告 | 2020.02.28 | 卡若区民政局 | 西藏正大招投标有限公司中标公告 | 西藏 | 货物/专用设备/安全生产设备/公路行业安全设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937000.htm
沾化区雨污分流工程监理中标公告 | 2020.02.28 | 滨州市沾化区综合行政执法局,滨州市沾化区综合行政执法局,滨州市沾化区综合行政执法局,滨州市沾化区综合行政执法局 | 山东中天建华工程咨询管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13937001.htm
2020届高三年级适应性考试（一）微机评卷技术服务2021届高三年级8月份摸底考试微机评卷技术服务中标（成交）公告 | 2020.02.28 | 贵阳市教育科学研究所 | 贵阳胧月项目管理咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13936993.htm
市级行政中心一期办公楼绿化租摆服务项目中标（成交）公告 | 2020.02.28 | 贵阳市市直机关事务管理局 | 贵阳胧月项目管理咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13936992.htm
磐石市高标准农田建设项目指挥部办公室磐石市2019年明城镇高标准农田建设项目（监理）中标公告 | 2020.02.28 | 磐石市高标准农田建设项目指挥部办公室 | 吉林华宸项目管理咨询有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13936987.htm
北京国家会计学院电梯设备维护保养服务项目中标公告 | 2020.02.28 | 北京国家会计学院 | 国信国采（北京）招标咨询有限责任公司中标公告 | 北京 | 服务/商务服务/会计服务/其他会计服务,服务/维修和保养服务/空调、电梯维修和保养服务 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200228_13936965.htm
青岛港湾职业技术学院后勤设备零散采购项目中标公告 | 2020.02.28 | 青岛港湾职业技术学院,青岛港湾职业技术学院,青岛港湾职业技术学院 | 山东盛和招标代理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200228_13936966.htm
