潍坊市寒亭区机关事务服务中心购买调研接待用车项目中标公告 | 2020.02.24 | 潍坊市寒亭区机关事务服务中心 | 山东华信项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13920204.htm
城阳区体育发展中心城阳区37所学校体育场地相关配套改造工程设计采购项目成交公告 | 2020.02.24 | 城阳区体育发展中心 | 山东东岳项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917721.htm
关于“哈尔滨市双城区畜牧兽医局草原勘察测会机构选定项目”第三标段中标单位弃标的情况说明 | 2020.02.24 | 哈尔滨市双城区畜牧兽医局 | 黑龙江日辉工程项目管理有限公司中标公告 | 黑龙江 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917789.htm
北京市第三中级人民法院新租赁审判业务用房开办费大法庭视频及信号传输系统、大法台升降台及背景板中标公告 | 2020.02.24 | 北京市第三中级人民法院（本级） | 北京汇诚金桥国际招标有限公司中标公告 | 北京 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917705.htm
大连市第三中学食堂服务外包采购项目中标公告 | 2020.02.24 | 大连市第三中学 | 大连永安招标有限公司中标公告 | 辽宁 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917677.htm
沈阳市铁西区某部队检验站物业服务项目中标公告 | 2020.02.24 | 沈阳市铁西区某部队检验站 | 辽宁友诚招标代理有限公司中标公告 | 辽宁 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917647.htm
北京市大兴区农业农村局政策性农业保险中标公告 | 2020.02.24 | 北京市大兴区农业农村局 | 北京金诚至上工程咨询有限公司中标公告 | 北京 | 服务/金融服务/保险服务/其他保险服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917672.htm
北京园博园管理中心售检票系统改造项目中标公告 | 2020.02.24 | 北京园博园管理中心 | 北京中衡融达工程管理有限公司中标公告 | 北京 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917704.htm
广东省清远监狱服刑人员大宗生活物资采购（大米及大豆油）项目（大豆油第三次重招）（项目编号：FEGD-CT19604-3）中标结果公告 | 2020.02.24 | 广东省清远监狱 | 广东远东招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917592.htm
福建经发-公开招标-2020-JF110市民法人库及共享协同平台运维项目结果公告 | 2020.02.24 | 厦门市信息中心 | 福建经发招标代理有限公司中标公告 | 福建 | 服务/信息技术服务/运行维护服务/软件运维服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917637.htm
南安市罗东镇人民政府罗东镇埔心运动场货物类采购项目结果公告(包1) | 2020.02.24 | 南安市罗东镇人民政府 | 福建元丰招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917562.htm
乐昌市第二人民医院监护仪等设备一批采购项目中标公告 | 2020.02.24 | 乐昌市第二人民医院 | 广东弘昊招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917542.htm
北京市通州区新华街道办事处2020年新时代文明实践项目中标公告 | 2020.02.24 | 北京市通州区新华街道办事处 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/商务服务/市场调查和民意测验服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917530.htm
玉田县住房和城乡建设局无终街国槐、白蜡树移栽工程中标公告 | 2020.02.24 | 玉田县住房和城乡建设局 | 金诺智信工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917503.htm
玉田县住房和城乡建设局无终街国槐、白蜡树移栽工程中标公告 | 2020.02.24 | 玉田县住房和城乡建设局 | 金诺智信工程项目管理有限公司中标公告 | 河北 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917503.htm
公安部机关政府采购办公室援外指挥中心通信设备项目中标公告 | 2020.02.24 | 公安部机关政府采购办公室 | 中钢招标有限责任公司中标公告 | 北京 | 货物/通用设备/通信设备/通信配套设备 | http://www.ccgp.gov.cn/cggg/zygg/zbgg/202002/t20200224_13917582.htm
东莞市滨海湾新区影像记录服务项目的中标、成交公告 | 2020.02.24 | 东莞市滨海湾新区管理委员会 | 广东众德项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917489.htm
北京市通州区新华街道办事处2020年宣传制作服务项目中标公告 | 2020.02.24 | 北京市通州区新华街道办事处 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/商务服务/市场调查和民意测验服务,服务/商务服务/社会与管理咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917528.htm
长春国际物流经济开发区英俊幸福里回迁房建设项目（一期）地块土方工程中标公示 | 2020.02.24 | 长春市农康投资发展有限公司 | 吉林省万力工程项目管理有限公司中标公告 | 吉林 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917547.htm
北京市通州区新华街道办事处2020年“相助你我，鼎力新华”志愿服务组织管理项目中标公告 | 2020.02.24 | 北京市通州区新华街道办事处 | 中国远东国际招标有限公司中标公告 | 北京 | 服务/商务服务/市场调查和民意测验服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917502.htm
海丰县住房和城乡建设局海丰县城二环路及红城大道（名门至县政府路口）道路交通标线整治工程的中标、成交公告 | 2020.02.24 | 海丰县住房和城乡建设局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917474.htm
汕尾市生态环境局汕尾市乡镇及以下集中式饮用水水源保护区划定方案项目的中标、成交公告 | 2020.02.24 | 汕尾市生态环境局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917477.htm
汕尾市生态环境局2019年度汕尾市饮用水水源保护区规范化建设项目-勘察测量及应急预案编制的中标、成交公告 | 2020.02.24 | 汕尾市生态环境局 | 汕尾采阳招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917460.htm
谷陇镇青塘村林下种植黄精项目中标（成交）公告 | 2020.02.24 | 黄平县谷陇镇人民政府 | 贵州荣瀚达工程管理有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917417.htm
枣庄市市中区绿化亮化及桥梁维护项目A包中标公告 | 2020.02.24 | 枣庄市市中区市政园林服务中心 | 南京永道工程咨询有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917404.htm
暨南大学幼儿园北园园舍及东园围栏改造工程(0809-1941GDG23C15)中标候选人公示 | 2020.02.24 | 暨南大学 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917381.htm
吉林金隅冀东环保科技有限公司清洁服务外包采购项目中标公告 | 2020.02.24 | 吉林金隅冀东环保科技有限公司 | 中吉国际项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917468.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包3) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917359.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包2) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917353.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包4) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917344.htm
福建医科大学附属第一医院麻醉科设备一批货物类采购项目结果公告(包1) | 2020.02.24 | 福建医科大学附属第一医院 | 福建顺恒工程项目管理有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917352.htm
洛江区宅基地、建设用地、农村房屋调查工作（第二批）服务采购结果公告(包1) | 2020.02.24 | 泉州市洛江区自然资源局 | 福建卓知项目投资顾问有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917343.htm
江城县勐康边防检查站口岸查验专用设备信息化建设项目采购中标公告 | 2020.02.24 | 江城哈尼族彝族自治县口岸管理委员会办公室 | 云南中咨海外咨询有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917316.htm
广州市花都区公园管理中心秀全公园、飞鹅岭山顶公园2020-2022年养护服务项目的中标、成交公告 | 2020.02.24 | 广州市花都区公园管理中心 | 广州市汇源通信建设监理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917285.htm
东莞市石排镇规划管理所东莞市石排镇中心区发展战略、城市设计与行动大纲编制项目（重新采购）的中标、成交公告 | 2020.02.24 | 东莞市石排镇规划管理所 | 广东中晟工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917255.htm
通勤班车业务发包项目中标公示 | 2020.02.24 | 中国航发长春控制科技有限公司 | 吉林省万力工程项目管理有限公司中标公告 | 吉林 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917385.htm
北京京北大地园林绿化工程有限公司2020年入围项目中标公告 | 2020.02.24 | 北京京北大地园林绿化工程有限公司 | 德汇工程管理(北京)有限公司中标公告 | 北京 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917201.htm
陇西县农业农村局陇西县2020年高标准农田建设项目初步设计中标公告 | 2020.02.24 | 陇西县农业农村局 | 中陇工程管理有限公司中标公告 | 甘肃 | 服务/农林牧副渔服务/农业服务/灌溉系统服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917207.htm
广州市生态环境局广州市生态环境准入决策强化技术支撑服务项目（2020-2022年）的中标、成交公告 | 2020.02.24 | 广州市生态环境局 | 广东省机电设备招标有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917185.htm
集美大学港口与环境工程学院基础建设改造项目中标公告 | 2020.02.24 | 集美大学 | 锐驰项目管理有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917325.htm
马龙工业园区红桥片区基础设施建设PPP项目PPP咨询服务中标公告 | 2020.02.24 | 曲靖市马龙工业园区管理委员会 | 云南明睿工程咨询有限公司中标公告 | 云南 | 服务/工程咨询管理服务/工程政策咨询服务/其他工程政策咨询服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917166.htm
广州市南沙区黄阁镇人民政府广州市南沙区黄阁镇财政评审服务项目的中标、成交公告 | 2020.02.24 | 广州市南沙区黄阁镇人民政府 | 永道工程咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917163.htm
惠州仲恺高新技术产业开发区陈江街道办事处社区卫生服务中心医疗设备采购项目中标公告 | 2020.02.24 | 惠州仲恺高新技术产业开发区陈江街道办事处社区卫生服务中心 | 惠州市酩鸿建设项目管理有限公司中标公告 | 广东 | 货物/专用设备/医疗设备/消毒灭菌设备及器具,货物/专用设备/医疗设备/其他医疗设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917246.htm
中山大学附属第三医院天河院区综合大楼EICU装修工程（0809-1940GZG21C09）中标结果公告 | 2020.02.24 | 中山大学附属第三医院 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917096.htm
儋州市环境卫生管理局-测量儋州市道路清扫保洁面积-中标公告 | 2020.02.24 | 儋州市环境卫生管理局 | 海南政辉招投标代理有限公司中标公告 | 海南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917095.htm
雷山县丹江镇第三幼儿园场平工程中标（成交）公告 | 2020.02.24 | 雷山县教育和科技局 | 贵州华松天成工程咨询有限公司中标公告 | 贵州 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917085.htm
宁夏回族自治区商务厅《宁夏今日商务》编辑出版服务采购项目中标公告 | 2020.02.24 | 宁夏回族自治区商务厅 | 宁夏一乾招标代理有限公司中标公告 | 宁夏 | 服务/商务服务/印刷和出版服务/出版服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917023.htm
南安市应急管理局采购智能化工程设备货物类采购项目结果公告(包1) | 2020.02.24 | 南安市应急管理局 | 福建云锋招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917032.htm
闽侯县第二医院后勤服务类采购项目结果公告(包1) | 2020.02.24 | 闽侯县第二医院 | 福州晋建工程造价咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917020.htm
福清市妇幼保健院全自动血液细胞分析仪货物类采购项目结果公告(包1) | 2020.02.24 | 福清市妇幼保健院 | 福建科瑞招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917046.htm
诏安县机关食堂经营服务结果公告(包1) | 2020.02.24 | 诏安县人民政府办公室 | 福建城域工程咨询有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917048.htm
病案管理及无纸化系统采购项目结果公告(包1) | 2020.02.24 | 福建省福州神经精神病防治院 | 福建诺鑫招标有限公司中标公告 | 福建 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917045.htm
集美大学菲华学生住宿楼修缮项目中标公告 | 2020.02.24 | 集美大学 | 锐驰项目管理有限公司中标公告 | 福建 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917149.htm
通渭县常河镇政府通渭县常家河镇人民政府通渭县常家河镇2020年草畜产业配套铡草机奖补项目中标公告 | 2020.02.24 | 通渭县常河镇政府 | 甘肃仁通招标有限公司中标公告 | 甘肃 | 货物/专用设备/农业和林业机械 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916960.htm
清远市清新区2020年乡村绿化美化苗木采购项目的中标、成交结果调整公告 | 2020.02.24 | 清远市清新区林业局 | 清远市志诚项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916962.htm
云南省昭通监狱2020年度罪犯生活物资采购项目(三次)中标公告 | 2020.02.24 | 云南省昭通监狱 | 昆明联诚通合招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916945.htm
珠海市香洲区香湾街道办事处珠海市香洲区香湾街道2020年饭堂配送服务采购项目中标公告（第二次） | 2020.02.24 | 珠海市香洲区香湾街道办事处 | 广东巨正建设项目管理有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916915.htm
云南省昭通监狱2020年度罪犯生活物资采购项目D包段（猪肉）（三次）中标公告 | 2020.02.24 | 云南省昭通监狱 | 昆明联诚通合招标有限公司中标公告 | 云南 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916917.htm
廉江市人民医院院史馆、党建展厅、图书馆升级配套系统采购项目（项目编号：0835-190ZE6401781）的中标公告 | 2020.02.24 | 廉江市人民医院 | 广东元正招标采购有限公司湛江分公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916922.htm
暨南大学原药学院楼三层装修改造工程(0809-1941GDG23C12)中标公告 | 2020.02.24 | 暨南大学 | 广东华伦招标有限公司中标公告 | 广东 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916898.htm
珠海市香洲区香湾街道办事处珠海市香洲区香湾街道2020年饭堂配送服务采购项目的中标、成交结果调整公告 | 2020.02.24 | 珠海市香洲区香湾街道办事处 | 广东巨正建设项目管理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916897.htm
景谷傣族彝族自治县景谷镇人民政府景谷镇集镇集中安置点活动场所建设项目中标公示 | 2020.02.24 | 景谷傣族彝族自治县景谷镇人民政府 | 普洱市普平工程招标有限责任公司中标公告 | 云南 | 工程/其他建筑工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916902.htm
海原县自然资源局森林草原防火信息化指挥中心升级改造项目竞争性谈判公告中标公告 | 2020.02.24 | 海原县自然资源局 | 正大鹏安建设项目管理有限公司中标公告 | 宁夏 | 货物/通用设备/办公设备/LED显示屏 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916894.htm
2019年国家水土保持重点工程淄博市淄川区鲁子峪项目苗木工程中标公告 | 2020.02.24 | 淄博市淄川区水资源管理办公室 | 中杰齐晟项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916876.htm
五轴数控机床（GZSW19156HG4095）中标结果公告 | 2020.02.24 | 广东海洋大学 | 广州顺为招标采购有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916875.htm
韶关市粮食和物资储备保障中心粮情测控系统项目改造的中标公告 | 2020.02.24 | 韶关市粮食和物资储备保障中心 | 广东盛远招标有限公司中标公告 | 广东 | 货物/其他货物/其他不另分类的物品 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13917010.htm
北京市密云区新城子镇人民政府密云区新城子镇塔沟村、大角峪村、遥桥峪托老中心煤改电及设施改造项目中标公告 | 2020.02.24 | 北京市密云区新城子镇人民政府 | 北京东方华太工程咨询有限公司中标公告 | 北京 | 工程/装修工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916971.htm
新能源汽车整车及配套零件部件制造基地基础配套设施项目（土石方平整工程一期）评标结果公示 | 2020.02.24 | 南宁市邕宁区城市建设投资有限公司 | 广西新宇建设项目管理有限公司中标公告 | 广西 | 工程 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916859.htm
汶上县国土空间规划编制项目中标公告 | 2020.02.24 | 汶上县自然资源和规划局 | 山东喆诚项目管理有限公司中标公告 | 山东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916835.htm
珠海市公安局白蕉派出所2020-2021年度食材配送采购项目中标公告 | 2020.02.24 | 珠海市公安局白蕉派出所 | 广东和致招投标咨询有限公司中标公告 | 广东 | 服务/住宿和餐饮服务/餐饮服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916836.htm
东莞市住房和城乡建设局市住建局大院物业管理服务项目 | 2020.02.24 | 东莞市住房和城乡建设局 | 广东中凯工程管理咨询有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916828.htm
广佛肇轻轨四会站连接线公路飞鹅岭段新建工程检测项目的中标、成交结果调整公告 | 2020.02.24 | 肇庆市交通工程质量监督管理站 | 肇庆市永利招标代理有限公司中标公告 | 广东 |  | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916811.htm
广东南华工商职业学院平安校园--雪亮工程项目中标公告 | 2020.02.24 | 广东南华工商职业学院 | 广东有德招标采购有限公司中标公告 | 广东 | 货物/通用设备/广播、电视、电影设备/视频设备/视频监控设备 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916929.htm
珠海市公安局六乡派出所2020-2021年度食材配送采购项目中标公告 | 2020.02.24 | 珠海市公安局六乡派出所 | 广东和致招投标咨询有限公司中标公告 | 广东 | 服务/其他服务 | http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202002/t20200224_13916808.htm
